Acres_Burned,Cal_Fire_Incident,Latitude,Longitude,Unique_ID,Month,Year
257314.0,True,37.857,-120.086,5fb18d4d-213f-4d83-a179-daaf11939e78,8,2013
30274.0,True,34.585595,-118.423176,bf37805e-1cc2-4208-9972-753e47874c87,5,2013
27531.0,True,33.7095,-116.72885,a3149fec-4d48-427c-8b2c-59e8b79d59db,7,2013
27440.0,False,39.12,-120.65,8213f5c7-34fa-403b-a4bc-da2ace6e6625,8,2013
24251.0,True,0.0,0.0,46731fb8-3350-4920-bdf7-910ac0eb715c,5,2013
22992.0,False,37.279,-119.318,bee8c339-4f26-4b78-a5b4-a8a0ebdb8786,7,2013
20292.0,True,33.86157,-116.90427,c400203b-a7fd-4bd8-803a-f3c74bc32a2b,8,2013
14754.0,False,41.32,-123.176,ba76c009-09c9-497c-b923-1ac8cf05c20d,7,2013
12503.0,False,41.035,-123.488,f3dcbca8-f8ed-46d0-8f6e-9c7fc2fb03e6,8,2013
11429.0,True,40.04263,-121.85397,956dbcf6-db40-4b61-b235-4ede14738f1e,8,2013
8073.0,True,40.498332,-122.535496,92af9783-eda9-4186-afe9-447f61a92636,9,2013
7055.0,True,32.95435,-116.47381,ee19b2ec-a96a-4738-994e-fb3ea016e053,7,2013
6965.0,True,40.190062,-121.595555,53122f0f-fefc-4dbf-b2d8-566b42ced66d,5,2013
4346.0,True,34.7861,-118.9411,e0d038e9-0926-4c05-8317-ec7075a04b12,5,2013
4346.0,True,34.7861,-118.9411,e0d038e9-0926-4c05-8317-ec7075a04b12,5,2013
3505.0,True,38.8167,-122.8498,b4bc1480-cbb8-4ef2-8d5f-88a496d21d10,11,2013
3166.0,True,34.288877,-116.941311,a1b14be5-a8cf-4e40-8588-96becf4c5879,5,2013
3111.0,True,37.90757,-121.882582,e33b2d80-7fec-4470-9e79-440d349b0d95,9,2013
2781.0,True,33.12111,-116.52579,859479e3-918c-42c6-bb74-5fdc17930a16,5,2013
2462.0,True,39.446268,-121.38236,0758e1c0-95ea-47e7-b5c1-5f3ea96bc664,8,2013
2236.0,False,33.341,-117.3092,9fb847ce-44c7-4a11-a733-a6cc82838671,10,2013
2060.0,False,36.208,-118.444,a4de6058-c68c-4924-bfb5-dc8ecc3b54c0,8,2013
1984.0,False,34.55048,-119.82429,abc61995-8bea-4be1-aa49-ee378ab3baaa,5,2013
1708.0,True,37.58202,-119.91071,bb2eb175-43a3-4a5c-bff6-e3669e52c1d1,6,2013
1383.0,True,33.62236,-117.40288,4867ac70-663e-48f4-b9ae-ca0a486234ca,8,2013
1271.0,True,33.04458,-116.5209,07a5397c-a665-4f84-9a82-5f689cb2c8f3,5,2013
1070.0,False,38.25108,-120.02778,1e8441c2-f426-40b4-9f4f-3de9f7e232b9,8,2013
917.0,False,0.0,0.0,0681ea77-2e43-43c4-9ae9-34fb168c0c03,12,2013
794.0,False,35.707,-118.588,5421868e-52ba-4737-8169-325e0aa040e4,8,2013
712.0,True,34.882,-118.9194,591a56a5-e9c0-45a0-96bd-34098588c39b,7,2013
712.0,True,34.49149,-118.610044,39af7eac-c188-411f-8c8a-d165c5fca4a9,5,2013
612.0,True,34.90327,-118.93388,86faecab-ed3a-4fce-95cf-89433a825c72,7,2013
572.0,False,38.774,-120.298,d778a3f0-2d23-43c1-b9bc-1ea33898fab2,7,2013
534.0,True,34.071556,-117.048397,6011819c-19ac-46c2-aa48-0ee8be0e48c0,6,2013
513.0,False,40.00842,-120.764666,5015b3c2-2bae-4cce-9bf8-f1b25b0ce1e6,8,2013
510.0,True,33.894055,-116.855019,958ce6d2-97f9-4848-8620-d14ab87f329d,5,2013
502.0,True,41.2415,-121.035,8b51033d-abc6-4ea4-8983-990ad4e1c45e,7,2013
500.0,False,35.15832,-120.05131,213dc89e-9f29-4480-91a6-aec5fb694999,6,2013
492.0,True,37.96866,-121.91453,522114fe-ada8-49a9-9bb2-5891103ff0ca,7,2013
482.0,True,37.015575,-119.78106,05d0fed7-8502-4a6f-9c5c-b9cee0e75408,6,2013
413.0,False,34.302,-117.598,b202bd85-c5ef-4bdf-8270-d556f95c3742,8,2013
406.0,True,36.602575,-118.01651,094719ba-a47b-4abb-9ec5-a506b2b9fd23,2,2013
376.0,True,38.628,-122.289,1f94fce5-49a5-4220-bc99-f003ab4d3e60,10,2013
354.0,True,37.160346,-120.937494,ca68f3c4-4906-4952-b794-4531d7da8369,5,2013
311.0,True,0.0,0.0,99cb21da-9639-4300-9a97-1cadc993189f,2,2013
305.0,True,39.439,-121.497,d922e7c8-814a-412b-a40b-53072d0983ea,10,2013
303.0,True,38.04993,-120.90325,0b51d59b-457d-4a62-b066-55c2b8d400e2,5,2013
298.0,True,39.434183,-121.576804,1a5192f1-bc99-4130-8683-381e0534b76a,6,2013
296.0,True,0.0,0.0,7a4a3552-3bea-4428-984c-e2edef13980f,1,2013
274.0,True,39.90465,-121.74367,95399a9c-8b3e-4413-9f56-5ed57d3d81b3,7,2013
274.0,True,37.116295,-119.635004,357ffc13-bef9-48eb-810f-c5de851972eb,4,2013
268.0,False,34.149,-117.908,eb5a3f2a-0c25-417a-af78-bb0d643247c7,9,2013
263.0,True,32.710918,-116.746023,f6f6fefa-ac4e-466f-815e-492416e37b98,9,2013
243.0,False,34.35,-117.62,62eabea3-40be-497d-94e4-150f011b925f,8,2013
240.0,True,37.775057,-121.737213,2ad509e4-99f1-4e1a-81eb-839f772f9c45,6,2013
237.0,True,38.729297,-121.380862,fe47b1c2-b9c0-44be-8d10-f270056db35c,6,2013
226.0,False,0.0,0.0,f3a3c56c-d2fc-49df-b0e2-ab36356b17d4,6,2013
217.0,True,39.514139,-122.560862,5649e78d-7c26-4698-89a0-b0fa9a35cf78,5,2013
213.0,False,0.0,0.0,0d38ff45-833e-488a-881f-30f24678c49c,7,2013
200.0,False,34.2,-117.417,f7358513-329f-4dba-8980-4cd3a19b469a,9,2013
200.0,True,40.012398,-122.079871,c94959d7-eb88-4724-8feb-ba0662afca10,7,2013
196.0,True,40.5445,-121.3754,f21a41c6-0905-4531-9bdf-2456d0051eed,8,2013
195.0,True,39.961309,-122.330879,4423899b-6197-4ef5-9f73-bca1763f17e6,7,2013
190.0,True,38.382,-122.311,79d476e5-0b4d-48e2-a105-2bba5c1140e9,11,2013
170.0,True,34.611824,-120.074655,cb5f34a0-177e-445d-9349-dd94063a01d0,5,2013
163.0,True,38.67479,-122.08725,0aa08938-eaab-4a60-8891-946197328f94,11,2013
